Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
248,8,8,10,8,8,8,8,8,8,8,
249,10,8,12,8,8,8,10,12,10,8,
250,10,8,8,10,8,8,8,8,10,8,
251,8,8,8,8,10,8,10,12,8,8,
252,10,8,10,8,8,8,10,10,10,8,
253,8,10,10,10,8,8,10,8,8,10,
254,8,8,8,10,8,8,8,8,8,8,
255,8,10,8,8,8,8,10,8,8,10,
256,10,8,8,8,10,10,10,10,8,8,
257,8,10,12,8,8,8,10,8,8,10,
258,8,10,8,8,10,8,8,8,8,10,
259,8,12,8,10,8,8,12,8,10,8,
260,8,8,12,8,8,8,8,8,8,10,
261,8,8,8,8,8,8,8,10,10,8,
262,8,8,8,8,8,8,8,10,8,10,
263,8,8,8,8,8,8,10,8,12,10,
264,10,8,8,10,10,8,10,8,10,8,
265,8,8,10,8,8,8,8,10,8,8,
266,10,8,10,12,14,8,10,10,12,8,
267,10,10,8,10,12,8,8,10,8,12,
268,10,8,12,10,8,10,10,10,8,8,
269,10,8,14,8,12,8,8,12,8,8,
270,8,8,8,10,8,8,10,10,10,8,
271,10,8,8,8,8,10,8,10,8,10,
272,8,8,10,8,8,8,8,8,8,8,
273,8,8,10,8,10,14,8,8,10,10,
274,8,8,10,8,14,12,10,10,8,16,
275,10,8,8,10,8,8,10,10,8,10,
276,10,10,8,14,10,12,8,8,10,10,
277,16,12,10,8,8,10,10,10,8,8,
278,10,8,8,12,8,8,8,8,8,8,
279,8,14,8,8,8,10,8,8,8,8,
280,8,12,10,8,8,8,10,8,10,10,
281,10,8,10,8,8,8,8,10,8,8,
282,8,8,8,8,10,8,8,8,8,8,
283,8,8,8,8,8,8,8,8,8,8,
284,8,16,10,10,10,8,8,8,8,8,
285,8,8,8,10,12,18,8,8,12,17,
286,12,10,8,8,8,10,8,8,8,8,
287,8,12,10,8,8,8,8,8,8,10,
288,10,8,8,8,12,8,10,8,18,8,
289,10,8,10,8,10,8,8,10,8,8,
290,8,10,12,10,8,10,8,10,8,10,
291,10,8,8,8,8,8,8,8,8,8,
292,8,14,8,12,10,8,10,8,10,8,
293,8,10,10,8,8,8,8,8,8,8,
294,8,8,8,8,8,8,8,8,8,10,
295,8,8,8,8,8,8,8,10,8,8,
296,8,8,10,8,8,8,8,8,8,10,
297,10,8,8,8,8,8,10,8,10,10,
298,10,14,8,10,10,8,8,8,10,8,
299,10,8,8,8,10,8,8,8,8,8,
300,10,10,14,8,10,8,10,8,8,8,
301,8,10,8,8,10,8,8,8,8,8,
302,8,8,8,10,8,10,8,10,12,8,
303,8,8,8,10,10,8,8,12,8,10,
304,10,8,8,10,8,18,12,10,10,8,
305,8,10,10,8,8,10,10,8,10,8,
306,8,8,8,8,8,8,8,8,14,12,
307,8,8,8,10,8,8,8,8,12,12,
308,8,10,10,8,8,8,8,8,10,8,
309,8,10,10,8,8,8,8,8,8,8,
310,10,8,10,10,8,8,8,14,12,8,
311,10,8,12,8,8,8,8,8,8,8,
312,8,8,8,10,8,8,8,8,8,8,
313,10,8,8,10,8,10,10,8,8,8,
314,8,8,10,10,8,8,8,8,10,8,
315,8,10,12,8,10,8,8,10,10,10,
316,8,10,8,8,8,8,8,8,8,8,
317,10,8,8,8,19,8,8,8,10,10,
318,8,10,8,10,8,10,8,10,8,8,
319,8,8,8,8,12,8,10,8,10,8,
320,8,8,10,8,8,10,8,8,8,10,
321,8,18,10,10,8,12,8,8,8,8,
322,12,14,8,8,12,8,8,10,8,8,
323,10,37,10,8,8,10,12,8,8,10,
324,8,10,10,8,8,10,8,8,10,8,
325,10,12,10,8,8,8,10,10,8,8,
326,8,8,8,10,10,8,8,12,8,10,
327,10,10,8,8,8,12,8,10,8,8,
328,8,8,10,10,8,10,8,12,8,10,
329,8,8,8,10,8,8,10,8,8,8,
330,8,10,8,10,8,10,8,8,8,8,
331,8,12,8,10,8,8,8,8,8,10,
332,8,12,8,8,8,12,35,8,8,10,
333,10,8,8,10,12,10,8,8,8,8,
334,8,8,8,8,8,8,12,8,8,8,
335,8,12,12,14,8,10,10,8,8,8,
336,8,10,8,8,10,10,8,10,14,8,
337,12,8,10,10,8,8,10,8,8,8,
338,8,14,8,8,12,10,18,8,8,8,
339,8,8,8,8,14,10,12,8,8,8,
340,10,8,10,10,10,12,8,10,12,8,
341,12,10,8,8,10,10,10,10,8,8,
342,8,31,8,12,10,8,8,8,8,10,
343,8,8,10,8,10,8,12,8,8,8,
344,8,8,8,8,10,8,8,8,14,8,
345,8,10,8,10,8,8,8,8,8,10,
346,8,8,8,10,8,8,8,8,8,14,
347,12,8,12,8,10,8,8,12,10,8,
348,8,8,8,8,8,8,8,10,12,8,
349,10,12,8,8,8,8,12,8,8,8,
350,12,8,8,8,8,8,8,8,8,8,
351,8,8,10,8,12,10,10,8,8,10,
352,8,8,8,8,8,8,8,12,8,8,
353,8,8,8,8,8,8,8,8,12,8,
354,10,10,8,8,8,10,10,8,8,8,
355,10,10,8,10,8,8,10,8,8,8,
356,8,8,12,8,8,8,8,10,10,8,
357,10,8,8,12,8,8,8,10,8,10,
358,8,8,10,8,10,8,10,8,10,8,
359,10,8,12,8,8,8,10,8,10,10,
360,12,8,10,10,8,8,8,8,8,8,
361,10,10,8,8,10,10,10,8,8,12,
362,8,8,12,8,8,8,8,8,8,12,
363,8,8,14,8,10,12,8,10,10,8,
364,8,8,8,10,8,10,8,8,8,8,
365,8,8,8,8,8,8,8,12,8,8,
366,12,8,8,10,8,8,8,8,8,10,
367,10,8,10,8,8,16,8,10,8,8,
368,8,8,8,10,8,8,8,12,8,8,
369,10,8,8,8,8,8,10,8,10,8,
370,8,8,8,8,10,8,8,8,14,8,
371,12,8,8,8,14,8,8,21,8,10,
372,8,8,10,8,10,10,8,8,34,8,
373,8,8,12,8,8,10,8,8,10,8,
374,8,8,10,10,12,10,8,10,10,8,
375,8,10,10,8,13,8,8,8,8,8,
376,10,10,8,10,10,8,8,8,10,10,
377,8,12,8,8,8,8,8,8,10,8,
378,8,8,12,8,8,8,10,8,10,8,
379,8,8,12,10,8,10,10,10,12,12,
380,10,8,8,8,10,8,10,8,10,14,
381,10,8,10,8,8,8,12,8,10,8,
382,8,8,8,8,8,8,8,10,8,10,
383,10,8,8,10,10,14,8,8,8,8,
384,8,12,10,8,8,10,8,8,10,12,
385,8,8,10,14,8,8,8,8,8,8,
386,10,8,8,8,12,8,8,10,8,10,
387,12,10,8,8,8,8,10,12,10,8,
388,8,10,10,14,10,8,14,8,8,8,
389,10,10,8,8,8,10,8,10,10,12,
390,8,8,8,8,8,8,8,8,8,8,
391,8,8,14,8,8,10,8,8,8,12,
392,8,8,8,8,8,8,8,8,8,10,
393,8,8,8,8,8,8,8,8,8,10,
394,8,10,8,8,8,8,10,8,12,8,
395,10,10,10,8,8,10,8,8,10,10,
396,8,10,8,8,10,12,8,10,8,8,
397,10,8,10,8,12,12,10,10,10,8,
398,8,8,10,8,8,14,10,8,14,8,
399,8,8,8,14,8,8,12,8,10,8,
400,10,21,8,10,8,10,8,8,10,10,
401,8,8,8,10,8,8,10,8,8,12,
402,12,8,8,8,10,8,10,12,8,10,
403,10,12,8,16,8,8,10,8,18,8,
404,14,8,8,8,10,10,8,8,10,10,
405,8,8,8,8,8,8,12,8,8,8,
406,10,10,8,10,12,8,8,8,8,8,
407,8,8,8,8,8,8,8,8,8,12,
408,8,8,12,8,10,8,8,12,8,10,
409,12,12,8,10,8,10,12,8,8,8,
410,12,8,10,8,10,10,8,12,10,8,
411,8,10,8,8,8,8,8,10,10,8,
412,8,8,8,8,12,10,8,8,10,14,
413,8,8,8,8,8,8,8,8,8,8,
414,8,8,10,8,8,10,8,8,8,14,
415,8,8,10,8,10,10,10,8,8,8,
416,8,8,8,8,8,8,8,10,8,8,
417,14,8,8,8,8,10,8,10,10,8,
418,8,8,8,10,8,8,12,8,10,10,
419,10,16,8,10,10,8,10,8,12,8,
420,10,8,8,8,8,8,12,10,10,8,
421,8,8,10,10,8,8,8,8,8,8,
422,10,8,8,8,8,8,12,10,12,8,
423,8,8,10,8,8,8,8,10,8,10,
424,10,10,10,10,8,8,8,8,10,8,
425,8,10,10,8,8,8,8,8,10,10,
426,8,8,10,8,8,8,10,8,8,8,
